2mm,"[-0.062247800827025745, -0.09815343856811509, 0.04008368492126513, -0.03581932067871074, -0.03381708145141582, -0.010916719436645295, 0.3363581371307376, -0.051324653625488104, 0.020767011642456534, -0.020852823257445863, -0.02560665130615236, -0.033451576232910174, -0.04153159141540508, -0.03701355934143047, -0.03780129432678203, 0.1076246452331544, 0.009213695526123278, -0.03481699943542438, 0.1401792907714845, -0.055812416076659765, 0.10606204032897981, 0.14937367439270055, 0.006133565902710192, 0.13021909713745172, -0.03197648048400836, -0.02329780578613283, 0.10137210845947298, -0.011188745498657227, -0.0071325302124019, 0.07667572975158699, -0.03231432914733867, 0.00996781349182152, 0.14027441978454602, 1.0800924777984622, 0.0032053089141848012, 0.724901866912842, 0.09404932022094759, -0.01586677551269533, 0.7053920459747318, -0.04325202941894535, 0.01458049774169945, -0.026667613983154315, -0.054342317581176136, -0.02651478767394977, -0.028194446563720277]"
3mm,"[0.0075931739807133525, -0.012915382385253693, -0.02205968856811502, -0.007714748382568359, 0.020527381896973118, -0.1303108882904045, 0.3745022773742681, -0.13197266578674238, -0.01818989753723166, -0.007495412826537873, -0.051343240737914186, 0.014350185394286896, 0.048529672622681375, 0.023250846862793217, -0.08577474594116197, 0.03706982612609888, 0.022815742492676705, -0.10714468002319322, 0.01879576683044526, 0.04232888221740794, -2.0273511123657215, -0.0468588256835929, -0.1573826217651364, 0.21775575637817468, 0.02290180206298853, -0.0901661682128907, 0.0026409721374509587, 0.12581551551818881, 0.012843618392944123, 0.026028661727905522, -0.08730300903320298, -0.009011516571044709, 0.0647233200073245, 0.3040395069122317, 0.003643045425414826, 0.8977073383331304, 0.006089706420898899, 0.008722076416015412, 0.9248422431945809, -0.047606039047240145, -0.006724834442138672, -0.12568485260009687, 0.0016572570800779118, 0.049048471450806375, -0.022580871582031037]"
adi,"[-0.019173641204834446, 0.013299007415771058, -0.009017715454102238, -0.023006448745727326, 0.002405424118041566, -0.0528057098388679, 0.818810491561889, -0.006526241302490909, -0.024666566848755345, -0.008963832855225284, -0.008018980026245792, -0.022408733367920597, -0.10851607322692924, -0.06015567779541087, 0.013171691894530824, -0.01589513778686591, -0.0009026432037355647, -0.05790738105773929, -0.016191968917847355, -0.015536556243896271, -0.15686169624328627, -0.02672005653381415, -0.011839160919190128, 1.0716283893585201, -0.030483503341675267, -0.013625869750977238, -0.044295330047607884, 0.29869225502014096, 0.005212802886962464, -0.04994037628173853, -0.167981052398682, -0.21071356773376504, -0.026021261215210423, 1.8115429878234863, -0.05959039688110401, 1.678487644195556, -0.03523566246032761, -0.17836539268493645, 1.702638998031616, -0.09013159751892097, 0.02076962471008237, -0.012291908264160156, -0.008295774459838867, -0.11254749298095756, -0.03108241081237839]"
atax,"[-0.07597383499145494, -0.11403356552124011, 0.004929294586181854, 0.053750562667846946, 0.04132083892822269, -0.050921258926391655, 0.38179883003234893, -0.04005556106567365, 0.07556968688964849, -0.0634947586059571, 0.06465463638305691, 0.10818990707397447, 0.10543189048767099, 0.0794401931762696, -0.11526286125183072, 0.06509213447570827, 0.07718022346496589, -0.08181485176086412, 0.07071952819824245, -0.05097229003906234, 0.188354425430298, -0.10566079139709483, 0.10312112808227525, 0.5842423915863035, 0.0665305042266846, 0.10491617202758796, 0.06323866844177273, 0.03390242576599123, -0.06914481163024888, -0.0858014583587643, -0.05134445190429693, -0.07264429092407232, -0.025250453948974183, 1.4402881908416747, 0.0798133277893065, 0.9678179359436037, 0.054188537597656516, 0.04216720581054689, 0.9226556968688966, -0.10019885063171374, 0.020377426147461186, -0.035021333694458257, -0.04806452751159673, -0.026769189834594975, 0.069223222732544]"
bicg,"[-0.08404238700866706, -0.07539137840270982, -0.06772716522216804, -0.04287652969360334, -0.06300455093383839, -0.13144001960754448, 0.8461614131927488, -0.08495767593383796, -0.08668358802795417, -0.10465657234191905, -0.152487411499024, -0.2449703121185305, -0.0701931285858155, -0.05773430824279746, -0.01937392234802271, -0.10481271743774467, -0.01544645309448267, -0.09689601898193345, -0.08879454612731941, -0.25505588531494094, 0.00493168830871582, -0.1219595718383788, -0.08886847496032768, 0.7312445259094238, -0.10201368331909233, -0.09399518013000474, -0.05873066902160673, -0.13078797340393056, -0.06639177322387724, -0.20683379173278826, -0.08212692260742216, -0.059175786972046396, -0.05644613265991172, 1.8728909969329832, -0.1086302947998048, 1.2573542118072507, -0.26600028991699265, -0.09678730010986403, 1.2003196716308593, -0.06575973510742195, -0.07609852790832505, -0.10779772758483919, -0.09262260437011705, -0.06522637367248585, -0.24012397766113303]"
cholesky,"[0.025047092437743945, 0.030561952590942187, 0.008470315933227557, -0.014497756958007812, -0.018006563186645508, 0.1571938228607177, 0.24578530311584457, 0.055295763015747124, 0.12642730712890637, 0.18860026359558102, -0.049540042877197266, -0.048519163131714116, -0.037439622879028356, 0.015260505676269354, -0.0188446044921875, -0.025789232254028516, 0.012000598907470739, -0.025896806716918963, 0.0006976127624511719, 0.009589452743530291, 0.2063360023498535, -0.011625528335571289, 0.026723194122314275, 0.086511936187744, -0.00594589233398457, -0.039331912994384766, -0.027199506759643555, 0.06508905410766586, -0.06358863830566408, -0.038635969161987305, -0.057715654373168945, -0.03539918899536154, -0.011391162872314453, 0.6226211833953856, 0.06421238899230941, 0.5444825077056885, -0.01943732261657738, -0.005471439361572461, 0.36672320365905753, -0.031709909439086914, 0.011329917907714648, -0.012354822158813672, -0.027101755142211914, 0.02102188110351566, -0.020087213516235547]"
correlation,"[-0.12900793075561623, -0.13580523490905794, -0.09689290046691923, -0.03352168083190943, -0.024669437408447514, -0.03480320930481007, 0.6316400623321528, -0.08597835540771559, -0.02121713638305689, -0.025074024200439915, -0.08944734573364332, -0.0863448047637938, -0.07791384696960435, -0.10689175605774004, -0.14018885612487875, -0.16184272766113317, -0.08706673622131422, -0.023846187591553658, -0.09668480873107921, -0.06907377243042045, -0.01610592842102143, -0.05023457527160691, -0.12087330818176323, 0.9563021087646479, -0.007674951553345188, -0.10262070655822875, -0.13297019958496215, 0.2151019191741934, -0.1046801567077642, -0.014856834411621556, -0.03179456710815476, -0.14469970703125057, -0.07856948852539158, 1.7273291492462155, -0.13481270790100108, 1.7455960941314697, -0.04341723442077683, -0.19880361557006854, 1.9105537796020502, -0.11794003486633375, -0.13217154502868667, -0.24513959884643644, 0.09053284645080506, -0.05008775711059599, -0.08538827896118217]"
covariance,"[0.00429605484008766, 0.16297689437866203, -0.017886409759521715, 0.06003194808959922, -0.03542140960693407, -0.023263959884643803, -0.031372823715209996, 0.07516318321227988, -0.05635935783386259, -0.07387693405151374, 0.1383019733428954, -0.07078679084777839, 0.12133131980895984, -0.08153494834899933, -0.04325776100158718, 0.014040718078613068, 0.08106573104858406, -0.006731996536255114, 0.08575138092041001, -0.05013303756713894, -0.025901556015015093, -0.01834704399108933, 0.09716424942016566, 0.20222132682800287, -0.03659585952758837, -0.03540615081787113, 0.13225257873535146, 0.03693177223205524, -0.017277727127075426, -0.09188062667846708, 0.05347160339355472, -0.034922409057617454, -0.0793484020233155, 0.6139207649230953, -0.04700808525085476, 0.46549672126770014, -0.04133467674255398, 0.004898300170898207, 0.4534377384185788, -0.026424198150635014, 0.09595569610595689, -0.05010299682617214, -0.01882101058959984, -0.005408773422241442, -0.03562502861022976]"
deriche,"[-0.024217147827148455, -0.07537658691406213, 0.08638820648193413, -0.01361680984497049, 0.1623748874664308, -0.0193181324005125, 0.5425100517272949, 0.05021267890930181, 0.036186723709106694, -0.01360227584838869, 0.0013060474395754085, 0.03828742980957056, -0.02107932090759279, -0.0045130348205564275, 0.1673490238189701, -0.05302648544311506, 0.17746846199035682, 0.08437619209289604, 0.029035110473633274, 0.12322437286376964, -0.10545025825500431, -0.007352838516235138, 0.11092125892639171, 0.5493185806274417, -0.03298763275146488, 0.1520987987518314, 0.09379515647888192, 0.23744437217712422, 0.113360996246338, 0.028939533233642845, 0.22593210220336957, 0.049497652053833274, -0.003839712142943874, 1.068648843765259, -0.010861177444457581, 1.3825667667388921, -0.03181795120239217, 0.15568295478820815, 1.3690500926971438, -0.00567748069763141, -0.012315759658813263, 0.02984907150268601, 0.026515502929687518, -0.015056142807006623, 0.13344800949096713]"
doitgen,"[0.07388313293457083, 0.06796032905578642, 0.11087666511535677, 0.06549269676208525, 0.024625577926636222, 0.05798346519470243, 0.09169898986816438, 0.06667478561401419, -0.05866842269897443, -0.05822305679321227, -0.020483512878417542, -0.054093647003173206, -0.007591257095336701, 0.012517719268799077, -0.04229667663574199, 0.08930690765380911, -0.030027866363524947, -0.08561284065246566, 0.08649906158447296, -0.07915764808654746, 0.19333168029785197, 0.04458098411560085, 0.09699475288391168, 0.22015759468078633, 0.1050828552246097, -0.08057743072509727, -0.01655103683471637, 0.036625671386719016, 0.009033937454224095, 0.10106645584106477, -0.04528142929077106, -0.0031380748748777165, -0.07294876098632752, 1.624816017150879, 0.06948717117309622, 0.848117656707764, -0.08681041717529281, -0.09566554069518984, 0.7967133903503423, 0.0952723979949952, 0.005958337783813938, 0.05815345764160185, -0.032291917800903125, -0.0885175132751459, 0.05236821174621609]"
