2mm,"[-0.0005409717559814453, 1.9788742065429688e-05, -0.03964662551879883, -0.0018258094787597656, 0.00032591819763183594, -0.04600071907043457, 0.019338130950927734, 0.00012373924255371094, -0.016158342361450195, -0.0003955364227294922, 0.006273508071899414, -0.024105310440063477, 6.413459777832031e-05, -0.0015497207641601562, -0.019642114639282227, -0.00010156631469726562, 0.0003554821014404297, -0.030286550521850586, -8.940696716308594e-05, -0.0001289844512939453, -0.03260540962219238, -3.910064697265625e-05, -0.00040602684020996094, -0.023487567901611328, -0.00015354156494140625, 0.000331878662109375, -0.025925636291503906, -0.0020990371704101562, -0.001020669937133789, -0.02667689323425293, -0.0015418529510498047, -0.0004963874816894531, -0.00923776626586914, 0.03743910789489746, -0.0001933574676513672, -0.010629892349243164, -0.0014157295227050781, -0.0002689361572265625, 0.0004203319549560547, -8.463859558105469e-05, 0.0003151893615722656, -0.02747511863708496, -0.0011019706726074219, -1.9311904907226562e-05, -0.03172111511230469]"
3mm,"[0.0007300376892089844, -0.029743432998657227, 0.0005381107330322266, -6.937980651855469e-05, 0.025394439697265625, 0.00011539459228515625, 0.00535893440246582, -0.00020265579223632812, 0.00020837783813476562, 0.01804947853088379, 4.744529724121094e-05, -0.026012897491455078, -0.002889394760131836, 0.0001671314239501953, 0.04069089889526367, -0.00033164024353027344, -0.01721644401550293, -0.00014257431030273438, -0.00040411949157714844, 0.03256869316101074, -0.06141304969787598, -0.020294189453125, -0.00047135353088378906, 0.009799480438232422, 0.0332944393157959, 0.00018978118896484375, -0.03415322303771973, 0.001875162124633789, 0.00018858909606933594, 0.025331974029541016, -0.0006654262542724609, -0.03502345085144043, -0.00048732757568359375, 0.02593827247619629, 0.02376246452331543, 0.036962032318115234, -0.02674269676208496, 0.00015211105346679688, 0.036195993423461914, 0.027217388153076172, 5.078315734863281e-05, -0.030590057373046875, 0.0010123252868652344, 0.0010418891906738281, 0.0576019287109375]"
adi,"[0.0008077621459960938, -0.0007131099700927734, -0.0017752647399902344, -0.001184225082397461, 0.0018093585968017578, -0.0011217594146728516, 0.040586233139038086, -0.0005295276641845703, 0.00031828880310058594, 0.0005872249603271484, -0.0013713836669921875, 0.0020301342010498047, -0.005717039108276367, 0.002781391143798828, -0.0011026859283447266, -0.0027506351470947266, -0.0015707015991210938, -1.430511474609375e-05, 0.002637147903442383, -8.177757263183594e-05, 0.006772041320800781, -0.0012667179107666016, -0.001155853271484375, 0.04504132270812988, 0.0021576881408691406, -0.006948709487915039, 0.0003139972686767578, 0.018843650817871094, -0.00021505355834960938, -0.002505064010620117, -0.0006906986236572266, -0.0005207061767578125, 0.00037026405334472656, 0.07572054862976074, -0.0006837844848632812, 0.06775045394897461, -0.00038170814514160156, -0.0014801025390625, 0.06901431083679199, 0.00033545494079589844, -0.0008797645568847656, 0.0010366439819335938, 0.0005986690521240234, 0.0012857913970947266, -0.0012657642364501953]"
atax,"[-0.008053779602050781, -0.03363156318664551, -0.0004706382751464844, -0.00034356117248535156, 0.010959625244140625, -0.0003399848937988281, 0.02388620376586914, 0.011664390563964844, -0.011483430862426758, 0.01780843734741211, -0.00044083595275878906, -8.249282836914062e-05, 1.8358230590820312e-05, -0.0048067569732666016, 8.606910705566406e-05, -0.0005333423614501953, -0.02919483184814453, -3.981590270996094e-05, 0.0003657341003417969, 0.032781362533569336, 0.0016684532165527344, 0.011956453323364258, -0.004586458206176758, 0.017421245574951172, 0.011614561080932617, -0.00036907196044921875, -0.013042926788330078, 0.0026068687438964844, 0.0005030632019042969, -6.699562072753906e-05, -8.821487426757812e-05, 0.0002684593200683594, -0.015524148941040039, 0.04622173309326172, 0.01168513298034668, 0.034752845764160156, -0.00035119056701660156, -7.081031799316406e-05, 0.050310611724853516, -0.00043487548828125, 0.0008108615875244141, -0.023338794708251953, 6.4373016357421875e-06, -0.0003249645233154297, -0.00022125244140625]"
bicg,"[0.0036079883575439453, 0.00020194053649902344, 0.002835988998413086, -0.0051784515380859375, 0.0047948360443115234, 0.0007307529449462891, 0.05329275131225586, -0.0002868175506591797, 0.00046706199645996094, -0.00014734268188476562, 0.0003566741943359375, -0.0048465728759765625, -0.0005271434783935547, 0.0024118423461914062, -0.005823373794555664, 3.075599670410156e-05, 0.004923820495605469, -0.0013861656188964844, -0.00655055046081543, -1.1444091796875e-05, -0.002855062484741211, -0.0016169548034667969, -0.005676746368408203, 0.02759265899658203, 0.0049800872802734375, 0.0003879070281982422, -0.0008661746978759766, 0.008908987045288086, -0.0005364418029785156, 0.0004773139953613281, -0.0008015632629394531, 0.006395816802978516, -0.00013709068298339844, 0.06873178482055664, 0.0008478164672851562, 0.05505561828613281, 0.0013303756713867188, -0.00574493408203125, 0.04961681365966797, -7.939338684082031e-05, -0.00013971328735351562, -7.891654968261719e-05, -0.009671211242675781, 0.005666017532348633, 0.005913257598876953]"
cholesky,"[-0.0007469654083251953, -5.054473876953125e-05, -0.03218483924865723, -0.000118255615234375, 5.91278076171875e-05, -0.00020551681518554688, 0.02857685089111328, -4.220008850097656e-05, -0.00024080276489257812, -0.020737171173095703, -1.2874603271484375e-05, -0.0013480186462402344, -9.5367431640625e-05, 0.025629043579101562, -5.888938903808594e-05, 0.00033664703369140625, -0.022062063217163086, -0.00013756752014160156, -0.0004508495330810547, 0.01447606086730957, 0.03961896896362305, 0.0001494884490966797, 3.0517578125e-05, -0.010547637939453125, -4.38690185546875e-05, -6.079673767089844e-05, 0.000301361083984375, 0.03366494178771973, -0.0006275177001953125, 0.00017976760864257812, -0.05267691612243652, 0.0006620883941650391, -0.00046253204345703125, 0.018440961837768555, 0.03546404838562012, 0.015120744705200195, -0.00025010108947753906, -0.01682591438293457, 0.014816522598266602, 9.965896606445312e-05, 0.000522613525390625, 0.017406463623046875, -0.00045561790466308594, -0.00018548965454101562, -0.02684783935546875]"
correlation,"[0.0007231235504150391, -0.00015997886657714844, -0.004217863082885742, -3.910064697265625e-05, -0.0003898143768310547, -0.0001518726348876953, 0.026300430297851562, 0.018341064453125, -0.00036787986755371094, -0.001405477523803711, -0.00045228004455566406, -0.007608652114868164, 0.0004241466522216797, -0.0015490055084228516, -0.0008957386016845703, 0.0014696121215820312, -0.0003254413604736328, 0.012501716613769531, -0.019562482833862305, -0.00750732421875, 0.0067234039306640625, -5.841255187988281e-05, 2.7418136596679688e-05, 0.04434370994567871, -0.00016117095947265625, -9.775161743164062e-06, -0.00018477439880371094, 0.0026650428771972656, 0.0010869503021240234, -0.00013780593872070312, 0.0008664131164550781, -0.0007748603820800781, 0.001973390579223633, 0.08054065704345703, 0.00011086463928222656, 0.05573892593383789, 0.0010652542114257812, -0.00045752525329589844, 0.05504941940307617, 0.0009441375732421875, -0.0003745555877685547, 0.0012955665588378906, 0.0025022029876708984, 0.0005426406860351562, -3.838539123535156e-05]"
covariance,"[0.0001766681671142578, 0.0010631084442138672, -0.0027675628662109375, -0.002413034439086914, -0.0003795623779296875, 0.0004134178161621094, 0.006641387939453125, -0.0006780624389648438, 0.0011479854583740234, -0.00044846534729003906, -0.00030803680419921875, -0.002689361572265625, -0.0002930164337158203, -0.0032875537872314453, -0.0007891654968261719, -0.0013136863708496094, 0.0005233287811279297, 0.00014019012451171875, -0.0014355182647705078, 0.0001125335693359375, -0.0034034252166748047, -0.0002627372741699219, 0.00027823448181152344, 0.010657072067260742, -0.0008420944213867188, 0.0007612705230712891, -4.601478576660156e-05, 0.004343748092651367, 0.0007200241088867188, 0.00018739700317382812, 0.0002110004425048828, -6.008148193359375e-05, 0.0005707740783691406, 0.02471923828125, 0.00014257431030273438, 0.016341686248779297, 0.01690816879272461, -0.00015997886657714844, 0.016005277633666992, -0.024621009826660156, 0.0002732276916503906, -0.00019478797912597656, -0.002292156219482422, -8.463859558105469e-05, -0.0003848075866699219]"
deriche,"[0.022353172302246094, -0.0025396347045898438, -0.0010187625885009766, -0.0005671977996826172, 0.0008566379547119141, 3.3855438232421875e-05, 0.027378559112548828, -0.0025527477264404297, 0.0017807483673095703, -0.0004811286926269531, -0.00020694732666015625, 0.0021779537200927734, -0.0011992454528808594, -0.0023610591888427734, -0.0009438991546630859, -0.00045228004455566406, -0.00049591064453125, 0.0024862289428710938, -0.0005209445953369141, -0.0011029243469238281, 0.0018100738525390625, 0.0009675025939941406, -0.0006539821624755859, 0.01202535629272461, 0.0005440711975097656, 0.001817941665649414, -0.0008246898651123047, 0.004817962646484375, -0.0014142990112304688, 0.00025653839111328125, -9.489059448242188e-05, 8.654594421386719e-05, 0.0006730556488037109, 0.04468846321105957, -0.00021982192993164062, 0.04696345329284668, 0.0014982223510742188, 0.0013356208801269531, 0.04887652397155762, 0.0006673336029052734, -0.001550436019897461, -0.007021665573120117, -0.0006365776062011719, -0.001056671142578125, -0.0002002716064453125]"
doitgen,"[-0.0006902217864990234, 0.009253501892089844, -0.00011038780212402344, 0.006826639175415039, 0.0003876686096191406, 0.0008974075317382812, 0.014532089233398438, -0.00010991096496582031, -0.0007758140563964844, 0.000240325927734375, -0.00016188621520996094, -0.001361846923828125, -0.010666847229003906, -0.0005140304565429688, 0.000980377197265625, -0.0002014636993408203, 0.0002751350402832031, -0.0003452301025390625, 2.384185791015625e-07, 0.00021767616271972656, 0.003616809844970703, -0.0007016658782958984, -0.0003504753112792969, 0.005218505859375, -0.0005283355712890625, -0.0006597042083740234, -0.002309083938598633, 0.00455927848815918, 0.0006809234619140625, -0.00015020370483398438, 0.009516477584838867, -0.009542226791381836, -0.00042319297790527344, 0.04867744445800781, -0.0004992485046386719, 0.03162503242492676, -0.0012617111206054688, -0.00011706352233886719, 0.030487775802612305, -0.0015592575073242188, 0.00014400482177734375, -8.106231689453125e-06, -0.0012657642364501953, 0.003356456756591797, 0.009899616241455078]"
